AOI;Y real;Y considerado por gráfico;OFFSET respecto lo considerado;;;;OFFSET respecto lo considerado
0;0,00;0;0,00;;;;0,00
5;1,09;1,09;0,00;;;;0,00
10;2,16;1,1;1,06;;;;1,06
15;3,26;2;1,26;;;;1,26
20;4,31;2;2,31;;;;2,31
25;5,26;2,5;2,76;;;;2,76
30;6,13;2,2;3,93;;;;3,93
35;6,99;2,2;4,79;;OFFSET celula siguientes;Simetria;4,79
40;7,66;2,2;;Offset real superior al radio de la célula. ;-7,442;7,44;5,24
45;8,56;1,5;;;-6,540;6,54;5,04
50;9,21;1;;;-5,888;5,89;4,89
55;9,86;1;;;-5,236;5,24;4,24
60;10,55;-0,5;;;-4,545;4,54;5,04
;;;;;;;
;;;;;;;
;;;;;;;
AREA CPV:;179;mm2;;;;;
Diametro aprox;15,10;mm;;;;;
Radio aprox;7,55;mm;;;;;
